signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,msg_from_peer,msg_from_id,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,reply_to_msg_id,reply_msg_link,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results,contact_phone_number,contact_name,contact_userid,geo_type,lat,lng,venue_id,venue_type,venue_title,venue_address,venue_provider
msg_iteration.0.user.literaturese.post.716,1462714109,literaturese,716,"Para quem está procurando os próximos livros da nossa LC fora da Amazon (por conta do prazo de entrega), recomendo a Estante Virtual, pois lá tem muitas edições dos livros que leremos. Aqui estão os links e cupom de desconto:
✨ Amada (Toni Morrison) – MAIO
✨ O senhor das moscas (W. Golding) – JUNHO
CUPOM DE DESCONTO: MELLFERRAZ OU 7MELLFERRAZ","Para quem está procurando os próximos livros da nossa LC fora da Amazon (por conta do prazo de entrega), recomendo a Estante Virtual, pois lá tem muitas edições dos livros que leremos. Aqui estão os links e cupom de desconto: ✨ Amada (Toni Morrison) – MAIO ✨ O senhor das moscas (W. Golding) – JUNHO CUPOM DE DESCONTO: MELLFERRAZ OU 7MELLFERRAZ",2023-04-20 11:39:41+00:00,https://t.me/literaturese/716,,,716,3,1,0,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.1.user.literaturese.post.715,1462714109,literaturese,715,Nos encontramos daqui a 5 minutos e eu não poderia estar mais empolgada para o nosso bate-papo de hoje! 🤩 https://www.youtube.com/watch?v=Qnm2D3Y4wH8,Nos encontramos daqui a 5 minutos e eu não poderia estar mais empolgada para o nosso bate-papo de hoje! 🤩 https://www.youtube.com/watch?v=Qnm2D3Y4wH8,2023-04-19 21:55:25+00:00,https://t.me/literaturese/715,,,714,0,1,0,,,,,,,0,,,1,MessageMediaWebPage,1,https://www.youtube.com/watch?v=Qnm2D3Y4wH8,youtube.com,Helena (Machado de Assis): Leitura Conjunta // live DE 50%," ► Nessa quarta (19/04), às 19h, temos um encontro marcado: conversaremos até o capítulo XVIII de ""Helena"".
⭐ Seja um padrinho/madrinha do Literature-se: https://www.catarse.me/literaturese

Ilustrações do layout da live por Maria Júlia Rêgo, disponíveis em: https://www.antofagica.com.br/produto-helena/
・Cronograma da LC: https://t.me/literaturese/703
・Grupo *aberto* da Leitura Conjunta no Telegram: https://t.me/joinchat/Si8zA_vFdqVg_UV1
・Compre o livro Helena (Machado de Assis): https://amzn.to/3IBzE3L

Próximas LCs:
MAIO – Amada (Toni Morrison): https://amzn.to/3xCsEgM
JUNHO – O senhor das moscas (William Golding): https://amzn.to/3ExddKO
*Essas são as edições que vou ler, mas você pode ler em qualquer edição que quiser/tiver.

 ► Madrinho: você tem acesso aos conteúdos exclusivos que já foram ao ar na aba ""Novidades"" do Catarse: https://www.catarse.me/literaturese#posts
​ (esteja logado com e-mail e senha de seu cadastro para ter acesso!) – É nessa página que você encontrará todos os conteúdos e acessos (grupos, podcasts, vlogs etc.)

______________________________________________________
 ►  Compre seus livros (e outros produtos) pelos meus links e contribua com o Literature-se: 
Amazon: https://amzn.to/2J8Wh3A
Submarino: https://afl.b2w.io/94KE
Americanas: https://afl.b2w.io/94Ky

 ►  Wishlist Amazon: https://www.amazon.com.br/hz/wishlist/ls/23OL9ZEXVFL5M?ref_=wl_share

 ►  Me adicione nas redes sociais:
・Instagram: http://bit.ly/2OMsL4d
・Facebook: http://bit.ly/2OLpdPO
・Twitter: http://bit.ly/2Me7IG0

 ► E-mail para contato: blogliterature-se@hotmail.com",,,,,,,,,,,,,,,,,,,
msg_iteration.2.user.literaturese.post.714,1462714109,literaturese,714,"Hoje é dia de live, bb! 😍
Conversaremos até o capítulo XVIII de ""Helena"".
Nos vemos mais tarde ✨

Link do encontro: https://www.youtube.com/watch?v=Qnm2D3Y4wH8","Hoje é dia de live, bb! 😍 Conversaremos até o capítulo XVIII de ""Helena"". Nos vemos mais tarde ✨ Link do encontro: https://www.youtube.com/watch?v=Qnm2D3Y4wH8",2023-04-19 18:57:55+00:00,https://t.me/literaturese/714,,,738,1,1,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.3.user.literaturese.post.713,1462714109,literaturese,713,"Vídeo novo no canal!
Já pensou ler uma narradora homofóbica? 😵‍💫
Assista na primeira hora, aqui: https://youtu.be/GTVs1xqbDRk","Vídeo novo no canal! Já pensou ler uma narradora homofóbica? 😵‍💫 Assista na primeira hora, aqui: https://youtu.be/GTVs1xqbDRk",2023-04-19 14:23:51+00:00,https://t.me/literaturese/713,,,750,1,1,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.4.user.literaturese.post.712,1462714109,literaturese,712,"VÍDEO NOVO NO CANAL 😍
Por que ler os clássicos? 
Assista agora na primeira hora e ajude as métricas do canal: https://youtu.be/AAV7hTTZrHs",VÍDEO NOVO NO CANAL 😍 Por que ler os clássicos? Assista agora na primeira hora e ajude as métricas do canal: https://youtu.be/AAV7hTTZrHs,2023-04-06 14:36:35+00:00,https://t.me/literaturese/712,,,1706,1,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.5.user.literaturese.post.711,1462714109,literaturese,711,Bora pra live! 😉 https://www.youtube.com/watch?v=Uk0UWIDDPfQ,Bora pra live! 😉 https://www.youtube.com/watch?v=Uk0UWIDDPfQ,2023-04-05 21:34:41+00:00,https://t.me/literaturese/711,,,1109,0,0,0,,,,,,,0,,,1,MessageMediaWebPage,1,https://www.youtube.com/watch?v=Uk0UWIDDPfQ,youtube.com,Helena (Machado de Assis): Leitura Conjunta // live INICIAL," ► Nessa quarta (05/04), às 19h, temos um encontro marcado: lerei o primeiro capítulo de ""Helena"", em voz alta com vocês.
⭐ Seja um padrinho/madrinha do Literature-se: https://www.catarse.me/literaturese

Ilustrações do layout da live por Maria Júlia Rêgo, disponíveis em: https://www.antofagica.com.br/produto-helena/
・Cronograma da LC: https://t.me/literaturese/703
・Grupo *aberto* da Leitura Conjunta no Telegram: https://t.me/joinchat/Si8zA_vFdqVg_UV1
・Compre o livro Helena (Machado de Assis): https://amzn.to/3IBzE3L

Próximas LCs:
MAIO – Amada (Toni Morrison): https://amzn.to/3xCsEgM
JUNHO – O senhor das moscas (William Golding): https://amzn.to/3ExddKO
*Essas são as edições que vou ler, mas você pode ler em qualquer edição que quiser/tiver.

 ► Madrinho: você tem acesso aos conteúdos exclusivos que já foram ao ar na aba ""Novidades"" do Catarse: https://www.catarse.me/literaturese#posts
​ (esteja logado com e-mail e senha de seu cadastro para ter acesso!) – É nessa página que você encontrará todos os conteúdos e acessos (grupos, podcasts, vlogs etc.)

______________________________________________________
 ►  Compre seus livros (e outros produtos) pelos meus links e contribua com o Literature-se: 
Amazon: https://amzn.to/2J8Wh3A
Submarino: https://afl.b2w.io/94KE
Americanas: https://afl.b2w.io/94Ky

 ►  Wishlist Amazon: https://www.amazon.com.br/hz/wishlist/ls/23OL9ZEXVFL5M?ref_=wl_share

 ►  Me adicione nas redes sociais:
・Instagram: http://bit.ly/2OMsL4d
・Facebook: http://bit.ly/2OLpdPO
・Twitter: http://bit.ly/2Me7IG0

 ► E-mail para contato: blogliterature-se@hotmail.com",,,,,,,,,,,,,,,,,,,
msg_iteration.6.user.literaturese.post.710,1462714109,literaturese,710,"AMANHÃ: nossa primeira live de Helena 🤩
O link é esse: https://www.youtube.com/watch?v=Uk0UWIDDPfQ",AMANHÃ: nossa primeira live de Helena 🤩 O link é esse: https://www.youtube.com/watch?v=Uk0UWIDDPfQ,2023-04-05 00:25:53+00:00,https://t.me/literaturese/710,,,1548,0,1,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.7.user.literaturese.post.709,1462714109,literaturese,709,"Hoje tivemos vídeo resenha no canal! 😍

Comentei sobre um livro MUITO bom da literatura japonesa. Venha conferir: https://youtu.be/SJpH7cd3HyY",Hoje tivemos vídeo resenha no canal! 😍 Comentei sobre um livro MUITO bom da literatura japonesa. Venha conferir: https://youtu.be/SJpH7cd3HyY,2023-04-04 00:30:45+00:00,https://t.me/literaturese/709,,,1655,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.8.user.literaturese.post.708,1462714109,literaturese,708,"⚠️ Errata: na imagem do cronograma, a live inicial consta como 05 de maio, mas na verdade é 05/04, ABRIL rs Muitas informações de uma vez, troco as bolas por aqui 😂","⚠️ Errata: na imagem do cronograma, a live inicial consta como 05 de maio, mas na verdade é 05/04, ABRIL rs Muitas informações de uma vez, troco as bolas por aqui 😂",2023-04-03 13:02:22+00:00,https://t.me/literaturese/708,,,1482,0,0,0,,,,,,,1,703,https://t.me/literaturese/703,0,,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.9.user.literaturese.post.707,1462714109,literaturese,707,"🔔 Apoiadores, o chat exclusivo do podcast de abril, HELENA, já está no ar! 💜
Acesse pelo seu e-mail, ou pela aba Novidades no Catarse.","🔔 Apoiadores, o chat exclusivo do podcast de abril, HELENA, já está no ar! 💜 Acesse pelo seu e-mail, ou pela aba Novidades no Catarse.",2023-04-03 12:58:11+00:00,https://t.me/literaturese/707,,,1436,0,1,0,,,,,,,0,,,1,MessageMediaWebPage,1,https://www.catarse.me/projects/130074/posts/126404,catarse.me,"LC ""Helena"" 💬 | Chat, L-cast, cronograma e outras informações",,,,,,,,,,,,,,,,,,,,
